time,total_packets
1645401738.2726376,6379485
1645401738.4738371,6379485
1645401738.6750004,6379486
1645401738.8761919,6379487
1645401739.077376,6379487
1645401739.2785623,6379488
1645401739.479719,6379491
1645401739.680862,6379491
1645401739.8820364,6379493
1645401740.0832722,6379493
1645401740.2844687,6379493
1645401740.4856386,6379495
1645401740.6868086,6379496
1645401740.887903,6379496
1645401741.0890698,6379496
1645401741.290262,6379496
1645401741.4914784,6379496
1645401741.6926465,6379498
1645401741.893843,6379498
1645401742.0951722,6379498
1645401742.2964747,6379498
1645401742.497632,6379500
1645401742.6988025,6379501
1645401742.8999674,6379501
1645401743.1011918,6379501
1645401743.302423,6379501
1645401743.5036361,6379504
1645401743.704833,6379506
1645401743.906005,6379506
1645401744.1071565,6379507
1645401744.308392,6379508
1645401744.5097244,6379510
1645401744.710926,6379512
1645401744.912129,6379513
1645401745.1133246,6379514
1645401745.3145201,6379514
1645401745.5157347,6379515
1645401745.716843,6379517
1645401745.9180238,6379517
1645401746.1192179,6379518
1645401746.3204136,6379518
1645401746.5216064,6379519
1645401746.722789,6379520
1645401746.9239597,6379520
1645401747.1251764,6379520
1645401747.326337,6379520
1645401747.5275817,6379520
1645401747.728745,6379521
1645401747.929913,6379521
1645401748.131083,6379524
1645401748.3323054,6379524
1645401748.5335205,6379524
1645401748.7346873,6379525
1645401748.935861,6379525
1645401749.137023,6379525
1645401749.338203,6379525
1645401749.5394015,6379526
1645401749.7405946,6379528
1645401749.941768,6379529
1645401750.142946,6379531
1645401750.3441794,6379531
1645401750.5454197,6379531
1645401750.7466063,6379532
1645401750.9477787,6379532
1645401751.1489794,6379532
1645401751.3501801,6379532
1645401751.5514102,6379532
1645401751.752622,6379533
1645401751.9537876,6379533
1645401752.1548636,6379535
1645401752.3560276,6379535
1645401752.557265,6379537
1645401752.7584834,6379538
1645401752.9595814,6379538
1645401753.1608024,6379539
1645401753.3619714,6379539
1645401753.5631754,6379539
1645401753.764354,6379540
1645401753.9655266,6379540
1645401754.1667356,6379540
1645401754.3679068,6379540
1645401754.5690794,6379541
1645401754.7703204,6379543
1645401754.9716048,6379543
1645401755.1727717,6379544
1645401755.3739429,6379544
1645401755.5751748,6379544
1645401755.776403,6379545
1645401755.9775999,6379545
1645401756.17877,6379546
1645401756.3799376,6379546
1645401756.581109,6379546
1645401756.7823076,6379547
1645401756.9835248,6379547
1645401757.1846914,6379547
1645401757.3858743,6379547
1645401757.5870428,6379547
1645401757.7882354,6379548
1645401757.989413,6379548
1645401758.190614,6379552
1645401758.3917923,6379552
1645401758.592959,6379553
1645401758.7941775,6379554
1645401758.995363,6379555
1645401759.196589,6379555
1645401759.3977597,6379555
1645401759.598913,6379556
1645401759.800073,6379558
1645401760.0012627,6379558
1645401760.2024512,6379558
1645401760.4036384,6379558
1645401760.6048112,6379558
1645401760.80598,6379559
1645401761.0071733,6379559
1645401761.2083795,6379559
1645401761.4095962,6379559
1645401761.610771,6379559
1645401761.8119347,6379560
1645401762.0131288,6379560
1645401762.2142878,6379561
1645401762.4155269,6379561
1645401762.6166942,6379561
1645401762.81786,6379562
1645401763.0190098,6379562
1645401763.2202113,6379562
1645401763.4214349,6379562
1645401763.6226065,6379562
1645401763.823783,6379563
1645401764.0249453,6379563
1645401764.2261755,6379563
1645401764.4274018,6379564
1645401764.6286018,6379564
1645401764.8297334,6379566
1645401765.030881,6379566
1645401765.2320733,6379566
1645401765.433293,6379566
1645401765.634526,6379566
1645401765.835696,6379567
1645401766.0368598,6379567
1645401766.238021,6379567
1645401766.4391963,6379567
1645401766.6404314,6379567
1645401766.8416073,6379568
1645401767.0428357,6379570
1645401767.2444415,6379570
1645401767.4456003,6379570
1645401767.6467566,6379570
1645401767.84788,6379571
1645401768.049042,6379572
1645401768.250207,6379573
1645401768.4513958,6379573
1645401768.6525936,6379575
1645401768.853759,6379576
1645401769.0549176,6379577
1645401769.2560866,6379577
1645401769.4572551,6379578
1645401769.6584182,6379578
1645401769.8595798,6379580
1645401770.0607755,6379581
1645401770.261934,6379581
1645401770.463095,6379581
1645401770.664265,6379581
1645401770.865458,6379582
1645401771.0666184,6379583
1645401771.2677898,6379583
1645401771.4689476,6379583
1645401771.6701584,6379583
1645401771.8713746,6379584
1645401772.072567,6379584
1645401772.2737205,6379584
