time,ping
1644038759.5566235,0.245 ms
1644038759.7588286,0.215 ms
1644038759.9609745,0.263 ms
1644038760.1631608,0.225 ms
1644038760.3654356,0.227 ms
1644038760.5677273,0.266 ms
1644038760.7700307,0.203 ms
1644038760.9720955,0.241 ms
1644038761.1742628,0.188 ms
1644038761.3763678,0.246 ms
1644038761.5785732,0.254 ms
1644038761.7808323,0.260 ms
1644038761.9830112,0.255 ms
1644038762.185149,0.142 ms
1644038762.3871784,0.250 ms
1644038762.5893226,0.249 ms
1644038762.791546,0.253 ms
1644038762.9937959,0.255 ms
1644038763.1959853,0.207 ms
1644038763.3981073,0.253 ms
1644038763.6002796,0.251 ms
1644038763.8021805,0.140 ms
1644038764.0042095,0.255 ms
1644038764.2063568,0.244 ms
1644038764.4085994,0.247 ms
1644038764.6107533,0.195 ms
1644038764.8127651,0.258 ms
1644038765.01501,0.248 ms
1644038765.2171595,0.253 ms
1644038765.419304,0.174 ms
1644038765.621414,0.251 ms
1644038765.8236675,0.241 ms
1644038766.0258157,0.191 ms
1644038766.2278318,0.201 ms
1644038766.4300263,0.243 ms
1644038766.632176,0.259 ms
1644038766.834325,0.204 ms
1644038767.0364478,0.184 ms
1644038767.2386181,0.188 ms
1644038767.4407482,0.249 ms
1644038767.642908,0.235 ms
1644038767.8450646,0.262 ms
1644038768.047211,0.247 ms
1644038768.2493079,0.250 ms
1644038768.4514496,0.167 ms
1644038768.653642,0.246 ms
1644038768.8558242,0.247 ms
1644038769.0579686,0.260 ms
1644038769.2601714,0.173 ms
1644038769.4622512,0.258 ms
1644038769.6644423,0.255 ms
1644038769.8665867,0.222 ms
1644038770.06891,0.203 ms
1644038770.2710054,0.233 ms
1644038770.4732566,0.256 ms
1644038770.6754022,0.254 ms
1644038770.877605,0.274 ms
1644038771.08006,0.255 ms
1644038771.282325,0.165 ms
1644038771.48442,0.183 ms
1644038771.6864595,0.184 ms
1644038771.888632,0.238 ms
1644038772.0907853,0.206 ms
1644038772.2928789,0.261 ms
1644038772.4950893,0.259 ms
1644038772.6972427,0.258 ms
1644038772.8993847,0.253 ms
1644038773.1016119,0.183 ms
1644038773.3037732,0.161 ms
1644038773.5057907,0.255 ms
1644038773.7079446,0.166 ms
1644038773.9099727,0.249 ms
1644038774.1120741,0.264 ms
1644038774.3142154,0.267 ms
1644038774.516368,0.249 ms
1644038774.718571,0.188 ms
1644038774.9207199,0.253 ms
1644038775.12288,0.338 ms
1644038775.3250542,0.194 ms
1644038775.5270798,0.247 ms
1644038775.7292306,0.251 ms
1644038775.931424,0.260 ms
1644038776.1336627,0.251 ms
1644038776.3357186,0.422 ms
1644038776.5380995,0.248 ms
1644038776.7401915,0.189 ms
1644038776.942278,0.256 ms
1644038777.1444356,0.245 ms
1644038777.3466692,0.250 ms
1644038777.548858,0.282 ms
1644038777.7510998,0.190 ms
1644038777.9532316,0.235 ms
1644038778.155356,0.246 ms
1644038778.3575697,0.148 ms
1644038778.559645,0.248 ms
1644038778.7618022,0.263 ms
1644038778.9640112,0.223 ms
1644038779.1660833,0.257 ms
1644038779.3682008,0.122 ms
1644038779.5701919,0.193 ms
1644038779.7723122,0.243 ms
1644038779.9744606,0.252 ms
1644038780.1766274,0.259 ms
1644038780.3788323,0.238 ms
1644038780.5809987,0.204 ms
1644038780.7831166,0.258 ms
1644038780.9852042,0.249 ms
1644038781.1873932,0.271 ms
1644038781.3895845,0.195 ms
1644038781.591767,0.247 ms
1644038781.7939389,0.259 ms
1644038781.9960933,0.197 ms
1644038782.198101,0.247 ms
1644038782.400224,0.235 ms
1644038782.6023953,0.191 ms
1644038782.8045146,0.257 ms
1644038783.006798,0.317 ms
1644038783.209036,0.251 ms
1644038783.4111884,0.185 ms
1644038783.6132858,0.248 ms
1644038783.8154337,0.263 ms
1644038784.0177674,0.166 ms
1644038784.2198853,0.291 ms
1644038784.422103,0.259 ms
1644038784.6242564,0.255 ms
1644038784.8264427,0.184 ms
1644038785.0287006,0.234 ms
1644038785.2307603,0.260 ms
1644038785.4329593,0.273 ms
1644038785.6351128,0.255 ms
1644038785.837288,0.255 ms
1644038786.03958,0.252 ms
1644038786.2418041,0.257 ms
1644038786.444013,0.159 ms
1644038786.646053,0.197 ms
1644038786.8480985,0.225 ms
1644038787.0501773,0.256 ms
1644038787.2523255,0.252 ms
1644038787.4545562,0.256 ms
1644038787.6567025,0.256 ms
1644038787.8588622,0.192 ms
1644038788.0609355,0.264 ms
1644038788.263123,0.222 ms
1644038788.465193,0.257 ms
1644038788.667417,0.173 ms
1644038788.869601,0.250 ms
1644038789.0717897,0.200 ms
1644038789.2741334,0.249 ms
1644038789.4762297,0.259 ms
1644038789.6784096,0.263 ms
1644038789.8806388,0.179 ms
1644038790.08265,0.248 ms
1644038790.2847996,0.256 ms
1644038790.486997,0.257 ms
1644038790.6891477,0.247 ms
1644038790.8913403,0.239 ms
1644038791.0935357,0.245 ms
1644038791.2957895,0.236 ms
1644038791.4979656,0.197 ms
1644038791.6999848,0.207 ms
1644038791.9020882,0.252 ms
1644038792.1042585,0.254 ms
1644038792.306421,0.252 ms
1644038792.5086656,0.164 ms
1644038792.7107322,0.240 ms
1644038792.9129155,0.254 ms
1644038793.1151123,0.250 ms
1644038793.3171902,0.204 ms
1644038793.519246,0.256 ms
1644038793.7213852,0.192 ms
1644038793.923541,0.259 ms
1644038794.1258194,0.254 ms
1644038794.328007,0.167 ms
1644038794.5301108,0.248 ms
1644038794.7322862,0.247 ms
1644038794.9345167,0.167 ms
1644038795.1366878,0.246 ms
1644038795.3389802,0.202 ms
1644038795.5409963,0.256 ms
1644038795.7432177,0.249 ms
1644038795.9453437,0.250 ms
1644038796.1475012,0.223 ms
1644038796.3497238,0.192 ms
1644038796.5517936,0.193 ms
1644038796.7539144,0.186 ms
1644038796.9560268,0.228 ms
1644038797.1581159,0.253 ms
1644038797.3602688,0.143 ms
1644038797.5622094,0.249 ms
1644038797.7643483,0.249 ms
1644038797.966565,0.201 ms
1644038798.1687856,0.196 ms
1644038798.370865,0.210 ms
1644038798.5731099,0.174 ms
1644038798.775317,0.260 ms
1644038798.9775693,0.253 ms
1644038799.1799574,0.213 ms
1644038799.3819678,0.278 ms
1644038799.5841634,0.182 ms
1644038799.7862923,0.247 ms
1644038799.9885023,0.225 ms
1644038800.1907914,0.222 ms
1644038800.393005,0.259 ms
1644038800.5966718,0.260 ms
1644038800.798893,0.250 ms
1644038801.000963,0.200 ms
1644038801.2031124,0.259 ms
1644038801.4052017,0.162 ms
1644038801.6072955,0.253 ms
1644038801.8094556,0.254 ms
1644038802.0117233,0.291 ms
1644038802.2139752,0.226 ms
1644038802.4161184,0.200 ms
1644038802.6182773,0.263 ms
1644038802.8204463,0.269 ms
1644038803.0226853,0.241 ms
1644038803.2249181,0.262 ms
1644038803.4270816,0.251 ms
1644038803.629166,0.192 ms
1644038803.83124,0.255 ms
1644038804.0334034,0.173 ms
1644038804.2354898,0.259 ms
1644038804.4376621,0.192 ms
1644038804.6398115,0.252 ms
1644038804.8419993,0.253 ms
1644038805.044169,0.260 ms
1644038805.2464378,0.247 ms
1644038805.448652,0.251 ms
1644038805.6508014,0.183 ms
1644038805.8529403,0.289 ms
1644038806.0551274,0.269 ms
1644038806.2572255,0.257 ms
1644038806.4592822,0.221 ms
1644038806.6613386,0.249 ms
1644038806.8635805,0.257 ms
1644038807.0657675,0.247 ms
1644038807.2679694,0.193 ms
1644038807.4700234,0.254 ms
1644038807.672177,0.258 ms
1644038807.8744283,0.251 ms
1644038808.0766904,0.268 ms
1644038808.2789485,0.248 ms
